,country,lat,lon,humidity,cloudiness,wind speed,max temp,city
129,EC,-0.74,-90.35,73,40,16.11,75.2,puerto ayora
130,ID,-3.7,128.18,89,100,5.39,82.99,ambon
131,RU,67.45,153.68,91,0,7.23,6.71,srednekolymsk
132,MG,-19.52,45.47,58,0,7.23,79.99,miandrivazo
133,BR,-8.9,-35.15,73,1,16.11,80.15,sao jose da coroa grande
134,BR,-20.33,-40.29,69,75,20.8,80.6,vila velha
135,CN,40.28,97.2,77,100,3.02,30.6,yumen
136,RU,69.38,178.42,98,100,5.84,26.13,leningradskiy
137,CA,53.83,-101.25,49,20,10.29,24.8,the pas
138,NO,70.86,29.09,86,20,21.92,33.8,berlevag
139,NP,27.67,85.33,93,40,3.36,60.8,patan
140,VU,-13.88,167.55,78,75,5.82,82.4,sola
141,SS,4.92,29.47,93,100,0.81,69.84,maridi
142,ID,0.8,127.4,76,83,2.59,80.69,ternate
143,KZ,43.65,51.2,81,0,8.95,44.6,aktau
144,MY,6.2,102.17,88,20,2.24,78.8,tumpat
145,US,34.64,-120.46,59,1,6.46,70.0,lompoc
146,RU,59.7,30.79,87,40,8.95,46.99,nikolskoye
147,US,45.02,-93.22,50,90,9.17,30.99,saint anthony
148,RU,63.01,112.47,87,75,1.63,10.76,chernyshevskiy
149,RU,59.18,61.86,96,100,14.56,26.04,sosva
150,RU,61.95,159.23,90,100,11.79,30.69,evensk
151,CD,-4.97,23.45,82,100,1.12,73.45,lusambo
152,PH,5.4,125.46,71,100,4.23,83.39,sarangani
153,NZ,-45.87,170.5,82,58,3.98,50.0,dunedin
154,BR,-30.18,-50.21,86,100,9.15,71.31,cidreira
155,MX,27.98,-114.06,51,4,16.69,73.31,guerrero negro
156,BR,-2.1,-56.49,33,70,4.68,99.59,terra santa
157,GL,77.48,-69.36,74,88,9.19,8.2,qaanaaq
158,GL,68.82,-51.19,67,75,5.82,19.4,qasigiannguit
159,BR,-13.94,-39.1,81,91,6.98,78.89,camamu
160,ZA,-33.01,17.94,59,49,5.82,66.2,saldanha
161,BR,-1.2,-46.02,66,96,9.33,85.19,carutapera
162,ES,42.78,-9.06,88,99,11.68,54.0,muros
163,UA,46.91,36.83,100,100,17.0,55.0,osypenko
164,MU,-20.52,57.52,73,40,9.17,73.4,souillac
165,NA,-26.65,15.16,70,0,20.13,62.51,luderitz
166,JP,28.37,129.48,77,20,4.7,66.2,naze
167,ID,-0.95,100.35,72,97,2.91,78.22,padang
168,RU,73.51,80.55,95,100,14.9,12.06,dikson
169,MR,20.93,-17.03,60,100,12.75,75.2,nouadhibou
170,IR,32.33,50.86,13,0,6.93,51.8,shahr-e kord
171,ML,20.2,1.01,14,0,8.77,83.89,tessalit
172,CL,-45.58,-72.07,50,40,14.99,55.4,coihaique
173,IN,21.53,84.73,63,0,2.53,70.27,deogarh
174,RE,-21.36,55.77,83,52,5.82,71.6,saint-philippe
175,AU,-23.13,150.73,94,40,4.7,69.8,yeppoon
176,TR,37.08,41.07,18,0,11.41,64.4,tall kayf
177,CA,62.46,-114.35,68,75,8.05,25.0,yellowknife
178,PK,28.58,65.42,30,0,0.63,57.06,kharan
179,RU,60.73,114.93,94,0,3.06,14.5,lensk
180,US,71.29,-156.79,92,75,3.36,17.6,barrow
181,GB,53.79,-1.75,81,40,17.22,48.2,bradford
182,US,39.18,-84.53,81,90,5.82,51.8,hamilton
183,AU,-20.32,118.57,88,81,11.41,69.8,port hedland
184,GL,60.92,-46.05,28,75,14.99,46.4,narsaq
185,NG,11.76,9.34,22,1,4.34,79.21,dutse
186,CA,65.28,-126.83,73,75,21.92,24.8,norman wells
187,RU,66.56,67.8,95,69,7.83,4.96,aksarka
188,RU,69.7,170.31,95,96,10.96,23.49,pevek
189,IN,11.67,92.75,82,28,5.17,79.56,port blair
190,SD,13.6,26.69,18,0,10.87,86.58,umm kaddadah
191,IS,63.86,-21.15,65,90,12.75,41.0,eyrarbakki
192,PE,-17.09,-71.76,62,20,7.96,68.54,cocachacra
193,ID,-7.95,110.28,87,100,7.56,76.75,bambanglipuro
194,RU,52.52,99.83,89,100,3.13,15.37,orlik
195,RU,69.3,139.9,87,51,4.23,-0.27,deputatskiy
196,GB,54.53,-1.3,71,40,14.99,50.0,thornaby
197,AU,-20.73,139.5,32,90,8.05,69.8,mount isa
198,RU,71.69,128.87,93,99,9.19,6.13,tiksi
199,ZM,-12.84,28.09,40,99,1.99,80.01,kalulushi
200,US,29.37,-99.77,57,90,12.75,77.0,uvalde
201,GH,4.88,-1.76,88,100,8.32,78.24,takoradi
202,CV,14.9,-24.5,70,100,12.1,82.2,sao filipe
203,RU,67.47,78.7,93,14,7.05,0.0,tazovskiy
204,US,35.62,-117.67,5,1,13.87,60.8,ridgecrest
205,UA,44.82,33.6,66,99,7.07,66.02,uhlove
206,US,39.01,-77.43,87,90,2.28,57.2,sterling
207,AO,-12.58,13.41,80,100,5.88,75.11,benguela
208,TC,21.46,-71.14,79,100,19.82,83.26,cockburn town
209,CG,1.64,18.07,85,24,0.6,73.9,impfondo
210,KZ,43.0,68.0,39,0,12.57,53.89,turkistan
211,RU,68.75,161.3,93,0,5.93,4.89,cherskiy
212,FO,62.23,-6.59,80,17,5.82,41.0,klaksvik
213,TH,14.88,103.49,87,100,3.94,73.99,surin
214,ID,5.56,95.32,75,94,11.74,80.02,banda aceh
215,PT,41.54,-8.62,93,20,3.36,55.4,barcelos
216,EG,26.73,33.94,65,0,3.94,80.6,safaga
217,MG,-21.22,48.33,79,0,4.27,70.79,mananjary
218,RU,53.94,139.92,97,5,2.26,26.56,mnogovershinnyy
219,UG,2.53,34.67,59,100,5.03,72.36,moroto
220,RU,70.63,147.92,96,100,11.68,8.01,chokurdakh
221,RU,68.05,39.51,86,100,29.57,37.09,ostrovnoy
222,US,30.05,-98.03,74,75,8.05,81.0,hays
223,EG,24.09,32.91,27,0,11.72,82.47,aswan
224,ZA,-28.52,27.01,74,100,13.02,62.69,winburg
225,SA,18.39,42.45,14,0,6.93,68.0,faya
226,PH,14.3,121.46,78,75,6.93,80.6,lumban
227,US,32.66,-114.41,11,1,23.04,60.8,fortuna foothills
228,RU,53.13,132.9,88,100,3.0,24.53,tokur
229,ES,42.22,-2.1,71,40,4.7,53.01,arnedo
230,CA,50.32,-122.8,55,20,1.12,32.0,pemberton
231,CN,30.95,113.55,100,2,4.14,59.0,yingcheng
232,KZ,49.71,72.59,46,40,29.08,50.0,shakhtinsk
